type,subtype,item_category_id
进口水果,橙柚,0
进口水果,苹果,1
进口水果,凤梨,2
进口水果,火龙果,3
进口水果,梨,4
进口水果,芒果,5
进口水果,蓝莓,6
进口水果,dddd,7
新鲜蔬菜,茄果类,8
新鲜蔬菜,农场菜,9
新鲜蔬菜,叶菜类,10
新鲜蔬菜,营养菜,11
新鲜蔬菜,根茎类,12
新鲜蔬菜,豆角类,13
美食净菜,凉菜,14
美食净菜,乳肉,15
肉类蛋禽,新鲜鸡蛋,16
肉类蛋禽,新鲜鸭蛋,17
肉类蛋禽,肉类,18
肉类蛋禽,骨头,19
肉类蛋禽,牛肉,20
海鲜水产,海鲜,21
海鲜水产,贝类,22
海鲜水产,蟹类,23
海鲜水产,虾类,24
海鲜水产,加工水产,25
速冻食品,冰冻鸡翅,26
速冻食品,冰冻鸭,27
速冻食品,冰激凌,28
速冻食品,冰冻海鲜,29
其它,其他蔬果,30
纸制品,软包抽纸,31
纸制品,卷筒纸,32
纸制品,手帕纸,33
纸制品,平板纸,34
纸制品,湿巾纸,35
纸制品,商务卫生纸,36
酒水,白酒,37
酒水,葡萄酒,38
酒水,黄酒,39
酒水,啤酒,40
酒水,起泡酒,41
咖啡,速溶咖啡42
咖啡,白咖啡,43
咖啡,咖啡伴侣,44
咖啡,雀巢咖啡,45
咖啡,咖啡豆,46
茶叶,乌龙茶,47
茶叶,红茶,48
茶叶,花草茶,49
茶叶,绿茶,50
茶叶,水果茶,51
饮料饮品,果蔬汁,52
饮料饮品,功能饮料,53
饮料饮品,凉茶,54
饮料饮品,椰汁,55
饮料饮品,碳酸饮料,56
成人奶粉,脱脂,57
成人奶粉,低脂,58
成人奶粉,全脂,59
成人奶粉,甜奶粉,60
成人奶粉,高钙,61
通讯充值,移动话费充值,62
通讯充值,电信话费充值,63
通讯充值,联通话费充值,64
本地生活,外卖订座,65
本地生活,生活缴费,66
本地生活,汽车养护,67
演出票务,电影选座,68
演出票务,演唱会,69
演出票务,音乐会,70
演出票务,体育赛事,71
教育培训,早教幼教,72
教育培训,艺术培训,73
教育培训,语言培训,74
教育培训,网络课程,75
教育培训,学习培训,76
儿童玩具,毛绒玩具,77
儿童玩具,电动车,78
儿童玩具,积木拼插,79
儿童玩具,滑板车,80
婴幼家纺,婴儿枕,81
婴幼家纺,冬抱被,82
婴幼家纺,床垫,83
婴幼家纺,床品套件,84
床上用品,记忆枕,85
床上用品,电热毯,86
床上用品,床单床笠,87
床上用品,全棉四件套,117
床上用品,四件套,10307
厨具锅具,压力锅,122
厨具锅具,平底锅,123
厨具锅具,铲勺,124
厨具锅具,烘焙工具,125
厨房电器,电饭煲,126
厨房电器,电磁炉,127
厨房电器,电炖锅,128
电器附件,万能遥控器,129
电器附件,电池,130
电器附件,电视挂架,131
电器附件,插头,132
日常电器,理发器,133
日常电器,电吹风,134
日常电器,脱毛器,135
日常电器,美发器,136
日常用药,感冒发热,142
日常用药,咽喉肿痛,143
日常用药,止咳化痰,144
日常用药,牙龈肿痛,145
日常用药,跌打损伤,146
营养健康,增强免疫,147
营养健康,改善睡眠,148
营养健康,补肾健体,149
营养健康,延缓衰老,150
营养健康,美白养颜,151
营养健康,补肾强身,10404
调理用药,补脑安神,152
调理用药,减肥瘦身,153
调理用药,健脾消食,154
调理用药,养肝护胆,155
传统滋补,蜂蜜/蜂产品,156
传统滋补,阿胶,157
传统滋补,燕窝,158
传统滋补,养生茶饮,10288
营养成分,鱼油,159
营养成分,螺旋藻,160
营养成分,海狗/海豹油,161
营养成分,蛋白质/氨基酸,162
营养成分,葡萄糖,163
洗浴用品,沐浴露,168
洗浴用品,舒肤佳,169
洗浴用品,浴球/浴擦,170
洗浴用品,威露士,171
洗浴用品,沐浴套装,184
洗浴用品,滴露,185
洗浴用品,女性洗液,186
洗浴用品,香皂,187
进口美护,进口护肤品,172
进口美护,进口男士护理,173
进口美护,进口沐浴,174
进口美护,进口美妆,175
女性护理,日用卫生巾,176
女性护理,夜用卫生巾,177
女性护理,护垫,178
女性护理,卫生棉条,179
