item_name,item_id,item_category_id
阿芙,3640,55
阿玛尼,3639,55
艾迪儿,2300,20
艾尔诗丹,4968,55
爱夫尔,15339,63
爱丽,4980,55
爱马仕,4981,58
爱茉莉,3651,55
爱琪美,4982,55
艾茜凯,0,40
爱斯卡达,18539,40
爱思美,17033,40
艾文莉,5,40
安必信,6,40
安利,7,40
安利雅姿,8,40
安娜,3641,55
奥巴讯,4972,55
奥迪氏,9,40
奥岚雪,3642,55
傲之美,4973,58
巴宝莉,3643,55
巴黎欧潘多平美,4974,58
巴黎世家,3644,56
巴斯洛漫,4975,58
佰草集,3645,58
白大夫,4976,58
百分百,3646,55
佰能,4977,58
柏姿,3647,55
帮宝适,4978,59
宝迪佳,3648,55
宝嘉丽,4979,55
宝莱娜,3660,59
保罗史密斯,3661,59
宝美奇,3662,55
保仙健,1000,67
贝碧,3652,55
贝德玛,4983,58
蓓格,3653,58
贝佳斯,4984,55
蓓丽,3654,56
贝罗,4985,59
贝纳通,3655,56
蓓柔,3656,55
贝斯特,3657,58
蓓泽丝,3658,59
奔流,3659,58
彼得罗夫,1011,67
比尔布拉斯,1010,67
碧芙,1008,67
比华利,1007,67
碧欧泉,1006,67
碧欧薰,1005,67
碧柔,1004,67
碧斯,1003,67
碧皙之然美丽传奇,1002,67
彪马,1001,67
波比布朗,2332,30
勃兰特博士,3663,55
泊美,3666,4
波士,3667,4
布兰妮,3668,4
采琪,3669,4
采诗,1009,67
彩妆,3680,23
婵真,3681,19
宠爱之名,1022,67
楚沙迪,2353,21
大宝,1021,67
大卫杜夫,2352,23
丹芭碧,1020,67
丹派诗,2351,19
德国柏力高,1019,67
德国海马,1018,67
德国汉高花牌,1017,67
登喜路,1016,67
迪奥,1015,67
迪梵,1014,67
蒂花之秀,1013,67
迪士尼,1012,67
蒂芝,3674,23
蝶妆,3676,23
丁家宜,3677,23
东洋之花,1033,67
杜嘉班纳,1032,67
都彭,1031,67
杜若,1030,67
多芬,2360,57
多丽,12415,40
娥佩兰,1029,67
鳄鱼,1028,67
发朵,2359,57
法而曼,1027,67
法国,1026,67
法国贵族,1025,67
法拉利,1024,67
凡士林,1023,67
范思哲,11284,31
非凡人物,16152,64
飞科,1037,75
菲拉格慕,1036,67
费雷,1035,67
飞利浦,1034,67
芬迪,1055,67
丰采贞采源,1054,67
封面女郎,1053,67
佛莱格默,1052,67
佛罗浪丝,1051,67
富莱欣,1050,67
弗洛蒙,1049,67
浮生若梦,1048,67
弗陶,1047,67
高夫,13760,41
高露洁,1066,77
高伦雅芙,1064,77
高丝,1063,67
高提耶,1062,67
高田贤三,1061,67
歌宝婷,1060,67
歌露儿,2391,30
宫黛,11108,40
古奇,11107,40
刮胡学问,12438,55
瑰珀翠,13769,40
海德堡,11109,40
海飞丝,12439,55
韩国多多,1059,67
韩国三星,1058,67
好奇,1057,67
皓莹,1056,67
赫莲娜,11100,40
侯舒卡博士,12432,55
候司顿,13763,41
护肤,12433,59
护舒宝,13764,41
花之使者,11102,40
汇美舍,12430,55
活之肤,13761,41
纪梵希,11101,40
纪凡希艾迪牛尔,12431,55
积姬仙奴,13762,41
积架,11104,68
吉列,12436,40
姬仙兰卡,13767,41
佳洁士,11103,40
家美乐,12437,40
嘉娜宝,13768,41
佳雪,11106,55
健美生,12434,55
娇兰,13765,41
娇俏丽儿,11105,37
娇韵诗,12435,55
洁丽宝,13766,41
洁诺,13770,40
杰士派,12440,37
洁沃,13771,40
金纺,1077,37
金牌大师,1076,38
金珀莱,1075,40
京润,1074,37
睛盈,1073,40
久日,1072,40
军医生,1071,37
卡地亚,1070,40
卡尔文克莱恩,12449,40
卡罗琳娜,1069,55
卡尼,1068,77
卡诗,11111,40
卡夏尔,12443,40
凯芙黎,13774,40
凯伊黛,11110,40
康美莱,12444,41
可贝尔,13775,40
可采,11113,40
克丽缇娜,12441,40
可伶可俐,13772,40
可斯卡琳娜,11112,40
可威尔,12442,40
拉尔夫劳伦,13773,40
拉芳,12447,40
拉夫劳伦,13778,40
莱佳奴,11114,40
蓝顿,12448,37
兰嘉丝汀,13779,40
兰蔻,12445,41
兰奴,13776,40
兰文,4238,76
兰皙欧,12446,40
蓝月亮百龄,13777,40
兰芝,1080,67
乐而雅,1088,56
乐尚丽,1087,55
蕾沃斯,1086,40
冷酸灵,1085,67
理安善,1084,67
黎得芳,1083,67
丽得康,1082,67
理肤泉,1081,67
丽仅,12418,55
力士,13749,28
丽诗加邦,12419,59
李医生,12416,55
丽姿,13747,70
联邦,12417,59
联合利华,13748,70
莲娜,9448,43
靓妃,1079,67
伶采,1078,40
六神,12410,37
隆力奇,12411,40
露得清,13742,70
露华浓,13740,57
露琪,13745,61
伦士度,13746,70
洛艾维,12412,40
罗伯特薇薇,13743,70
罗敦与菲特,12413,40
洛丽塔,13744,70
罗密欧吉格利,1091,55
罗莎,1090,55
萝莎,1099,40
洛丝妲妮,1098,40
绿世界,1097,40
玛莉安,1096,40
玛丝菲尔,1095,37
曼歌,1094,40
满婷,1093,40
曼秀雷敦,12429,55
美爱斯,12427,55
美宝莲,13758,41
美国雅儿,12428,55
美华丽,13759,41
美加净,1089,43
魅力匙,12421,55
玫琳凯,13752,61
美思,12422,57
美体考究,13753,9
美体小铺,12420,59
梦妆,13751,61
蜜丝佛佗,12425,55
名香,13756,41
摩根,12426,55
莫斯奇诺,13757,41
纳爱斯,11315,62
纳美丽芙,12423,55
娜莎迪,13754,9
妮维雅,12424,55
牛牌,13755,57
欧翠,13727,69
欧萃碧,13728,69
欧莱雅,13725,69
欧姆龙,13726,69
欧珀莱,13729,69
欧珀雅,13720,69
欧舒丹,14921,40
帕高,13723,69
潘婷,13724,69
旁氏,13721,69
佩芬兰,13722,69
裴礼康医师,847,78
皮肤护理,12407,58
皮肤医生,13738,69
飘柔,12408,55
品男仕清华紫光,13739,57
品姿,12405,38
普拉达,12406,40
契尔氏,13737,69
琪诺尔,12409,40
倩碧,13730,69
茜素斯联盈,12400,40
倩盈,12403,40
清妃,12404,37
屈臣氏,12401,55
让巴度,12402,40
日本美肌水,13705,69
如新,13706,69
蕊丽思,13703,69
瑞砂纳嘉斯,13704,69
赛林,13709,69
塞露迪,13707,69
赛维,13708,69
三宅一生,9118,54
莎拉杰西卡派克,9121,54
莎莉汉森,9124,54
莎力斯,9128,54
纱曼婷,13701,69
莎娃蒂妮,13702,69
沙宣,9101,54
姗拉娜,13700,69
闪露,9131,54
珊娜,9134,54
圣艾芙,9138,54
圣荷,9142,54
生活良品,13716,69
圣罗兰,13717,69
圣茜娅,13714,69
施巴台湾新生活美容馆,13715,69
诗碧,13718,69
诗碧曼,13719,69
诗丹丽,13712,69
诗芬,13713,69
施华蔻,13710,69
史努比,13711,69
诗瑞,12391,40
狮王,12392,40
师夷家,11061,59
舒肤佳,11060,55
舒蕾,12390,37
舒琪,11063,55
舒适,12395,40
舒维,11062,55
水果之乡,12396,37
水芝澳,11065,55
水芝灵,12393,40
水之印,11064,55
斯壁,12394,40
司顿,11067,55
思蔻尔,12399,40
丝俪人,11066,55
丝维诗兰,11069,40
思妍丽,12397,40
宋琪儿,11068,37
松下,12398,37
素盈丽秀禾,11070,37
索芙特,11072,38
塔丽卡,11071,38
泰奥菲,11074,40
泰尼莫格勒,11073,38
唐可娜儿,11076,38
汤米,11075,37
缇诗娜,14608,62
贴美,11078,37
婷美,11077,40
同仁堂,11079,40
万宝龙,16449,41
丸美,12370,40
维健美,11041,40
威露士完美,12373,40
威娜,11040,37
薇婷,12374,40
薇姿,11043,37
西黛,12371,40
席琳狄翁,11042,38
西诗可丽,12372,37
希思黎,15248,63
夏士莲,11045,40
纤立得,12377,40
仙妮蕾德,11044,40
仙香,12378,40
香贝肌,11047,40
香妃,12375,40
香奈儿,11046,37
相宜本草,12376,37
小护士,11049,40
小蜜蜂,11048,38
型采华伦天奴古柏,12379,40
秀美,12380,55
修美人,12381,55
秀身堂贝印,11050,40
萱妍,11052,40
雪富,12384,55
雪肌丽,11051,37
雅艾芬迪,12385,55
雅顿,11054,40
雅芳,12382,55
雅呵雅,11053,40
雅丽莎,12383,55
雅倩,14620,65
雅诗兰黛,7664,56
雅漾,9097,54
研丽坊,11056,40
伊芭诗,12388,40
伊芙丽丝,11055,37
伊卡璐,12389,40
伊莲娇雪,11058,37
伊美婷,12386,40
伊奈美,11057,40
忆念美,12387,40
伊诺姿,11059,40
依泉,12351,40
依云,13682,69
雍加,12352,40
幽兰,13683,69
由你,11021,40
玉兰油,13680,69
羽西,11020,40
泽平,12350,40
詹妮弗洛佩兹,13681,69
昭贵,11023,37
贞水,12355,40
郑明明,13686,69
植村秀,11022,40
中华,12356,40
众淼,13687,69
茱莉寇儿,11025,38
自然小铺,12353,40
自然哲理,13684,69
姿芮,11024,40
资生堂,12354,40
最美,13685,69
阿波罗,11027,40
阿布家,12359,40
阿迪达斯,11026,40
阿尔卑斯,11029,38
阿尔法,12357,37
阿尔飞斯,13688,69
阿尔金,11028,37
阿尔卡特,12358,40
阿尔派,13689,69
阿尔山,13690,69
阿芙,11030,40
阿福贝贝,12362,40
阿芙萝,13693,69
阿格利司,12363,38
阿卡佳,13694,69
阿卡奇,11032,41
阿里斯顿,12360,38
阿玛迪斯,13691,69
阿玛尼,11031,38
阿曼贝丝,12361,40
阿曼尼,13692,69
阿曼特,11034,37
阿美刻,12366,40
阿米尼,13697,69
阿明,11033,40
阿姆斯壮,12367,40
阿帕蒂,13698,69
阿帕其,11036,37
阿帕奇,12364,37
阿帕琦,13695,69
阿帕齐,11035,37
阿茜娅,12365,40
阿瑞娜,13696,69
阿莎罗,11038,37
阿诗玛,11037,41
阿饰魅,12368,40
阿束,13699,69
阿思家,11039,40
阿斯克斯,12369,40
阿斯莱特,19305,49
阿特塞帝,13660,69
阿特斯,14992,61
阿香婆,12330,55
阿依莲,13661,69
阿原,14991,61
爱爱,14990,61
爱贝,11009,40
艾贝,11008,40
爱贝斯,12339,37
爱彼,12333,40
爱必居,13664,69
艾比森,14996,61
艾博,12334,40
爱布,13665,69
爱步,14995,61
爱车屋,12331,40
爱德,13662,69
艾德克,14994,61
艾德莱夫,12332,40
爱得利,13663,69
爱德信,14993,61
爱登堡,12337,37
爱登美,13668,69
埃迪,11004,37
爱迪,12338,40
爱迪尔,14999,61
艾迪尔,11007,40
爱动,12335,55
艾杜纱,13666,69
爱顿博格,14998,61
爱多,11006,41
爱多康,12336,55
艾多莲娜,13667,69
爱尔,14997,61
艾尔,12340,40
艾尔顿,13671,69
爱尔康,12341,40
艾儿妈妈,13672,69
艾尔猫粮,11010,55
艾尔曲夫,11019,40
艾尔莎,16163,65
爱菲烟克,11012,55
艾芙杰,12344,37
艾夫斯,13675,69
艾格,11011,55
爱国者,12345,40
爱好,13676,69
嗳呵,11014,40
爱护,12342,40
爱华,13673,69
艾华士,11013,40
爱惠浦,12343,40
爱家,13674,69
艾嘉,11016,40
艾家,12348,40
爱康,13679,69
爱可,11015,40
艾克,12349,40
爱克基,11018,40
爱科技,12346,40
爱克能,13677,69
爱克赛,11017,40
爱肯,12347,40
艾肯,13678,69
爱酷,17622,43
艾兰得,3706,19
爱兰思嘉,3709,19
爱浪,363,45
艾乐尔,3718,30
爱乐维,21320,61
爱丽,3711,30
艾丽碧丝,3714,19
爱立电,6153,24
艾利和,11081,40
艾力斯特,11080,40
埃立特,11083,38
爱莲,11082,40
爱恋金饰,11085,38
爱林莎,11084,40
艾伦名爵,11087,40
爱侣,11086,37
爱玛,3737,23
爱玛仕,3738,19
爱马仕,3739,23
爱猫久久,2402,30
艾美佳,11089,37
艾美加,11088,37
爱美丽,2409,75
艾美莉,3736,19
爱美斯,11092,55
艾美特,11091,37
艾美讯,11094,40
爱萌,11093,55
艾米恋,11096,41
埃莫,11095,41
爱茉莉,6568,25
艾默生,11098,37
爱慕,3750,28
艾尼亚,11097,40
爱宁,13190,46
爱诺,11090,40
艾诺,2415,30
爱欧迪,2414,76
爱派思,2413,75
爱普,2412,75
艾谱,2411,75
爱谱王,2410,75
爱妻,3740,19
艾奇,3741,23
爱琴,11099,40
爱情故事,2419,18
爱犬久久,2417,30
爱瑞鑫,3761,18
艾瑞雅,10715,40
艾莎,13804,40
艾尚,13805,37
爱尚美,13802,40
艾尚雪,13803,37
爱舍,13808,40
爱氏,13809,37
爱诗碧,13806,40
爱仕达,2420,30
爱视达,13807,37
艾诗浓,16165,64
爱舒,13800,55
爱思,13801,40
艾丝,3770,56
艾斯卡达,3771,55
艾思瑞尔,3772,56
埃索,1110,37
艾泰,10912,55
爱特爱,1107,40
爱缇莎,13815,55
爱贴,1106,55
爱庭,13816,55
艾威,1105,55
艾维,13813,40
艾唯美诗,917,78
爱薇诗,1104,55
艾薇思曼,13814,55
爱威亚,1103,57
爱唯伊,13819,40
爱我,1102,57
爱心城堡,1101,57
爱心兔,2432,21
爱绣,13817,40
艾秀,13818,37
爱学宝,3762,23
哎呀呀,3763,40
爱意,3764,40
爱依瑞斯,3765,23
爱乐,3766,55
艾韵,13811,40
艾哲,3767,55
爱真,13812,40
爱之羽,1109,40
安安,3768,55
安宝路,1108,40
安贝,3769,55
安贝儿,13810,37
安博尔,3782,55
安步,3783,40
安川,1121,55
安创,1120,56
安德鲁森,1118,40
安盾,1116,40
安尔康,1115,40
安儿乐,1114,37
安尔乐,1113,40
安防,1112,37
鞍钢,1111,40
安华,3773,55
安记,3774,55
安吉尔,3775,55
安吉小羊,3776,58
安健,3777,55
安键,3778,58
安井,3779,56
安卡,1119,55
安卡拉,22076,30
安凯,3790,56
安可,3791,58
安乐,3792,58
安利,3793,58
安莉芳,3794,58
安玛莉,15247,63
安满,1132,55
安膜,2463,40
按摩器,1131,55
按摩椅,2462,40
安娜苏,1130,58
安耐克,2461,55
安鹏,2460,55
安瓶,1129,56
安普生,1128,58
安琪,2459,55
安琪儿,1127,59
安桥,2458,55
安然,1126,55
安尚,2457,57
安尚秀,1125,57
安神,1124,59
安适,1123,59
安睡宝,1122,55
安踏,3784,40
安泰,3785,40
安徒生,3786,55
安万克,3787,55
安威仕,3788,55
安信,3789,58
安心妈妈,1143,55
安雅,2474,60
安赞臣,1142,60
安之伴,2473,56
安之宁,1141,55
昂达,2472,56
昂立,1140,59
奥邦,2471,56
澳宝,2470,55
澳倍健,13116,43
奥博,1139,55
奥博笔,1138,56
奥柏林,2469,59
奥城,1137,55
奥诚,2468,55
奥黛丽,1136,59
奥迪,2467,55
澳帝力,1135,59
奥帝神,2466,55
奥东,1134,56
敖东,2465,55
奥朵,1133,58
澳尔滨,3795,58
澳而春,3796,58
奥菲欧,3797,58
奥格尔,3798,58
澳海,3799,59
奥吉,3573,59
奥洁,2173,56
奥卡,2485,58
奥卡索,1153,75
